Name,ANZ_Product_Code__c,IDR_Product_or_Service_Line__c,IDR_Product_or_Service_Category__c,IDR_Product_or_Service_Type__c,IDR_Workbasket__c
N/A,999,10,34,188,IDR_Everyday_Banking
ANZ Shield,174,6,20,138,IDR_Everyday_Banking
Phone Banking,175,6,20,138,IDR_Everyday_Banking
Deceased Estates,176,7,21,182,IDR_Everyday_Banking
IVR,177,10,34,188,IDR_Everyday_Banking
Business One,178,1,1,1,IDR_Business_Owners
Salary Packaging Card,179,1,1,1,IDR_Business_Owners
Business Overdraft,180,1,1,2,IDR_Business_Owners
Business Select Package,181,1,1,2,IDR_Business_Owners
Residential Investment Property Loan (Commercial Regulated Loan),182,1,1,2,IDR_Business_Owners
Documentary Credit Facility,183,1,1,2,IDR_Business_Owners
Import Credit & Trade Facility,184,1,1,2,IDR_Business_Owners
Trade Finance Loan,185,1,1,2,IDR_Business_Owners
Export Trade Facility,186,1,1,2,IDR_Business_Owners
Encashment Facility,187,1,1,2,IDR_Business_Owners
Commercial Bills,188,1,1,3,IDR_Business_Owners
Asset Finance - Car Loans,189,1,1,4,IDR_Business_Owners
Asset Finance - Esanda Business Equipment finance,190,1,1,4,IDR_Business_Owners
Asset Finance - Hire purchase,191,1,1,4,IDR_Business_Owners
Letter of Credit,192,1,1,5,IDR_Business_Owners
Standby Letter of Credit,193,1,1,5,IDR_Business_Owners
ANZ Frequent Flyer Visa Gold,194,1,2,11,IDR_Everyday_Banking
ANZ Prepaid Card,195,1,2,11,IDR_Everyday_Banking
ANZ Rewards Visa Gold,196,1,2,11,IDR_Everyday_Banking
Aussie Mastercard,197,1,2,11,IDR_Everyday_Banking
ANZ Balance Visa,198,1,2,11,IDR_Everyday_Banking
Verified by Visa,199,1,2,11,IDR_Everyday_Banking
ANZ Easy Start Residential Investment Loan,200,1,2,15,IDR_Home_Owners
ANZ Easy Start Home Loan,201,1,2,15,IDR_Home_Owners
Equity Release Fixed Rate Loan,202,1,2,15,IDR_Home_Owners
Equity Release Variable Rate Loan,203,1,2,15,IDR_Home_Owners
Fixed Rate,204,1,2,15,IDR_Home_Owners
Home Loan Interest Saver,205,1,2,15,IDR_Home_Owners
ANZ Money saver Home Loan,206,1,2,15,IDR_Home_Owners
ANZ Money Saver Residential Investment Loan,207,1,2,15,IDR_Home_Owners
Business Cash Management,208,2,5,27,IDR_Home_Owners
Negotiable Certificate of Deposit,209,2,5,27,IDR_Business_Owners
Premium Business Cash Account,210,2,5,27,IDR_Business_Owners
Premium Business Cash Management,211,2,5,27,IDR_Business_Owners
Short Term or Call Deposit,212,2,5,27,IDR_Business_Owners
Structured Bill Investment,213,2,5,27,IDR_Business_Owners
Corporate Transaction Account,214,2,5,27,IDR_Business_Owners
Client Money Account (Cache),215,2,5,27,IDR_Business_Owners
Corporate Statutory Trust (Cache),216,2,5,27,IDR_Business_Owners
ANZ Design My Card,217,2,5,31,IDR_Everyday_Banking
ANZ Online Investment Account,218,2,5,31,IDR_Everyday_Banking
Esanda Term Deposit,219,2,5,31,IDR_Everyday_Banking
Safe Deposit/ Locked Box/ Sealed Packet,220,2,5,31,IDR_Everyday_Banking
Seniors Privilege,221,2,5,31,IDR_Everyday_Banking
Access Deeming,222,2,5,31,IDR_Everyday_Banking
Access Simplicity,223,2,5,31,IDR_Everyday_Banking
Premier Cheque Account,224,2,5,31,IDR_Everyday_Banking
Premier Cheque Account - with Overdraft,225,2,5,31,IDR_Everyday_Banking
ANZ Plus - Savings (ANZ Save Account),226,2,5,31,IDR_Everyday_Banking
ANZ Plus - Everyday (ANZ Plus Account),227,2,5,31,IDR_Everyday_Banking
Corporate Term Deposit (Cache),228,2,7,38,IDR_Business_Owners
Corporate Notice Term Deposit,229,2,7,38,IDR_Business_Owners
Money Market Deposits,230,2,7,38,IDR_Business_Owners
"FX - Spot, Value Today and Value Tomorrow",231,4,12,82,IDR_Business_Owners
FX - Flexible Forwards,232,4,12,83,IDR_Business_Owners
FX - Forward Exchange Contracts,233,4,12,83,IDR_Business_Owners
FX - Foreign Currency Options,234,4,12,85,IDR_Business_Owners
Commodity Swap Facilities,235,4,12,86,IDR_Business_Owners
Agri Commodity Swap,236,4,12,86,IDR_Business_Owners
International Money Transfers,237,6,19,133,IDR_Everyday_Banking
Digital Wallets,238,6,20,138,IDR_Everyday_Banking
ANZ Plus App,239,6,20,138,IDR_Everyday_Banking
ANZ Cash Escrow Facility,240,6,20,138,IDR_Business_Owners
Home Loan Protection Insurance,241,3,8,40,IDR_Home_Owners
ANZ Standard Variable Residential Land Loan,242,1,2,15,IDR_Home_Owners
ANZ Standard Variable Residential Investment Loan in a Company Name,243,1,2,15,IDR_Home_Owners
ANZ Standard Variable Home Loan in a Company Name,244,1,2,15,IDR_Home_Owners
ANZ Fixed Residential Investment Loan in a Company Name,245,1,2,15,IDR_Home_Owners
ANZ Fixed Home Loan in a Company Name,246,1,2,15,IDR_Home_Owners
ANZ Equity Manager in a Company Name,247,1,2,15,IDR_Home_Owners
ANZ Standard Variable Residential Investment Land Loan,248,1,2,15,IDR_Home_Owners
ANZ Interest-in-Advance Residential Investment Loan in a Company Name,249,1,2,15,IDR_Home_Owners
ANZ Interest-in-Advance Residential Investment Loan,250,1,2,15,IDR_Home_Owners
ANZ Portfolio Package,251,1,2,15,IDR_Home_Owners
ANZ Staff Concessional Lending (SCC),252,1,2,15,IDR_Home_Owners
ANZ Relief Home Loan,253,1,2,15,IDR_Home_Owners
ANZ Money Saver Residential Investment Loan in a Company Name,254,1,2,15,IDR_Home_Owners
ANZ Money Saver Residential Land Loan,255,1,2,15,IDR_Home_Owners
ANZ Money Saver Residential Investment Land Loan,256,1,2,15,IDR_Home_Owners
ANZ Home Equity Loan- Savings,257,1,2,15,IDR_Home_Owners
ANZ Home Equity Loan In a Company Name-Cheque,258,1,2,15,IDR_Home_Owners
ANZ Home Equity Loan,259,1,2,15,IDR_Home_Owners
ANZ Home Equity Loan in a Company Name-Savings,260,1,2,15,IDR_Home_Owners
ANZ Home Loan Protection (HLP)  Insurance,261,3,8,40,IDR_Everyday_Banking
Man AHL Alpha (AUD),262,4,12,84,IDR_Wealth
AQR Wholesale Managed Futures 1P,263,4,12,84,IDR_Wealth
Winton Global Alpha,264,4,12,84,IDR_Wealth
iShares Australian Equity Index,265,4,13,88,IDR_Wealth
Vanguard Australian Shares Index,266,4,13,88,IDR_Wealth
Ausbil Australian Active Equity,267,4,13,88,IDR_Wealth
Bennelong Australian Equities,268,4,13,88,IDR_Wealth
Bennelong ex-20 Australian Equities,269,4,13,88,IDR_Wealth
Greencape Broadcap,270,4,13,88,IDR_Wealth
Nikko AM Australian Share W,271,4,13,88,IDR_Wealth
Perpetual Wholesale Ethical SRI,272,4,13,88,IDR_Wealth
Investors Mutual WS Australian Share,273,4,13,88,IDR_Wealth
Pendal Horizon Fund,274,4,13,88,IDR_Wealth
Schroder WS Australian Equity Fund - WC,275,4,13,88,IDR_Wealth
State Street Australian Equity,276,4,13,88,IDR_Wealth
Yarra Australian Equities Fund,277,4,13,88,IDR_Wealth
BlackRock Advantage Australian Equity,278,4,13,88,IDR_Wealth
Fidelity Australian Equities,279,4,13,88,IDR_Wealth
Alphinity Australian Share,280,4,13,88,IDR_Wealth
Alphinity Sustainable Share,281,4,13,88,IDR_Wealth
Ausbil Australian Emerging Leaders,282,4,13,88,IDR_Wealth
Eley Griffiths Group Small Companies,283,4,13,88,IDR_Wealth
Ironbark Karara Australian Small Comp,284,4,13,88,IDR_Wealth
Pendal Smaller Companies,285,4,13,88,IDR_Wealth
Ausbil 130/30 Focus - Wholesale,286,4,13,88,IDR_Wealth
Pengana Emerging Companies,287,4,13,88,IDR_Wealth
Perpetual W Share Plus L/S,288,4,13,88,IDR_Wealth
Perpetual Wholesale Industrial,289,4,13,88,IDR_Wealth
OnePath Wholesale -Select Leaders,290,4,13,88,IDR_Wealth
OnePath Wholesale - Emerging Companies,291,4,13,88,IDR_Wealth
Perpetual Wholesale Australian,292,4,13,88,IDR_Wealth
Optimix Wholesale -Australian Share No.2,293,4,13,88,IDR_Wealth
Merlon Australian Share Income,294,4,13,88,IDR_Wealth
Perpetual Wholesale Geared Australian,295,4,13,88,IDR_Wealth
Generation Life Bennelong Concentrated Australian Equities,296,4,13,88,IDR_Wealth
Generation Investors Mutual Australian,297,4,13,88,IDR_Wealth
Generation Investors Mutual Future Leaders,298,4,13,88,IDR_Wealth
Generation iShares Wholesale Australian Equity Index,299,4,13,88,IDR_Wealth
Generation Legg Mason Martin Currie Equities Inc,300,4,13,88,IDR_Wealth
Generation Mutual 50 Leaders Australian,301,4,13,88,IDR_Wealth
Generation Life Pendal Sustainability Aus Shares Fund,302,4,13,88,IDR_Wealth
Generation Perpetual Wholesale Australia,303,4,13,88,IDR_Wealth
Generation Perpetual Wholesale Etcl SRI,304,4,13,88,IDR_Wealth
Generation Perpetual Wholsale Geared Aus,305,4,13,88,IDR_Wealth
Generation BlackRock Concentrated Industrial Shares,306,4,13,88,IDR_Wealth
ANZ Australian Small Companies SIV Portfolio,307,4,13,88,IDR_Wealth
ANZ Australian Equities Capital (Tax Payer) Pfolio,308,4,13,88,IDR_Wealth
ANZ Australian Equities Income (Tax Payer) Pfolio,309,4,13,88,IDR_Wealth
OC Micro-Cap,310,4,13,88,IDR_Wealth
Macquarie Australian Emerging Companies,311,4,13,88,IDR_Wealth
Martin Currie Real Income Fund,312,4,13,88,IDR_Wealth
First Sentier Australian Property Fund,313,4,13,88,IDR_Wealth
Challenger Guaranteed Income Fund,314,4,13,88,IDR_Wealth
IML Wholesale Australian Share Fund,315,4,13,88,IDR_Wealth
Melior Australian Impact Fund,316,4,13,88,IDR_Wealth
Inspire Australian Equities Fund,317,4,13,88,IDR_Wealth
Perpetual Exact Market Cash,318,4,13,89,IDR_Wealth
BlackRock Cash Fund,319,4,13,89,IDR_Wealth
FSI Premium Cash Enhanced,320,4,13,89,IDR_Wealth
ANZ Cash Plus,321,4,13,89,IDR_Wealth
OnePath OA FR IP-ANZ Cash Advantage,322,4,13,89,IDR_Wealth
UBS Cash Fund,323,4,13,89,IDR_Wealth
UBS Income Solution Fund,324,4,13,89,IDR_Wealth
Generation Mutual ADI/Bank Securities,325,4,13,89,IDR_Wealth
Generation Kapstream Absolute Return Inc,326,4,13,89,IDR_Wealth
Generation Life Term Deposit,327,4,13,89,IDR_Wealth
Generation Macquarie Treasury,328,4,13,89,IDR_Wealth
Patamar Fund II,329,4,13,89,IDR_Wealth
Vanguard International Shares Index,330,4,13,94,IDR_Wealth
Vanguard International Shares Index Hedged AUD,331,4,13,94,IDR_Wealth
iShares Hedged International Equity Index,332,4,13,94,IDR_Wealth
iShares International Equity Index,333,4,13,94,IDR_Wealth
AMP Capital Ethical Leaders International Share A,334,4,13,94,IDR_Wealth
Antipodes Global Fund - Long P,335,4,13,94,IDR_Wealth
BlackRock Advantage International Equity Fund,336,4,13,94,IDR_Wealth
Epoch Global Equity Shareholder Yield Fund Unhedged,337,4,13,94,IDR_Wealth
IFP Global Franchise,338,4,13,94,IDR_Wealth
MFS Global Equity Trust W,339,4,13,94,IDR_Wealth
OnePath OneAnswer Frontier Investment Portfolio -OnePath Global Share,340,4,13,94,IDR_Wealth
Platinum International Fund,341,4,13,94,IDR_Wealth
Arrowstreet Global Equity,342,4,13,94,IDR_Wealth
Arrowstreet Global Equity Hedged,343,4,13,94,IDR_Wealth
Realindex Global Share-Class A,344,4,13,94,IDR_Wealth
Realindex Global Share Hedged-Class A,345,4,13,94,IDR_Wealth
State Street Global Equity,346,4,13,94,IDR_Wealth
Stewart Investors W Worldwide Sustainability,347,4,13,94,IDR_Wealth
Walter Scott Global Equity,348,4,13,94,IDR_Wealth
Magellan Global Open Class,349,4,13,94,IDR_Wealth
Vanguard Emerging Markets Shares Index,350,4,13,94,IDR_Wealth
Aberdeen Standard Emerging Opports Fund,351,4,13,94,IDR_Wealth
OnePath Wholesale - OnePath Global Emerging Markets Share,352,4,13,94,IDR_Wealth
Vanguard International Small Companies Index Hedged,353,4,13,94,IDR_Wealth
Vanguard International Small Companies,354,4,13,94,IDR_Wealth
Lazard Global Small Cap W,355,4,13,94,IDR_Wealth
T. Rowe Price Global Equity I,356,4,13,94,IDR_Wealth
MFS Emerging Markets Equity Trust,357,4,13,94,IDR_Wealth
Fidelity China,358,4,13,94,IDR_Wealth
Fidelity India,359,4,13,94,IDR_Wealth
Platinum Asia,360,4,13,94,IDR_Wealth
Epoch Global Equity Shareholder Yield Fund Hedged,361,4,13,94,IDR_Wealth
Optimix Wholesale - Global Share,362,4,13,94,IDR_Wealth
Pendal Concentrated Global Share No.2,363,4,13,94,IDR_Wealth
Pendal Concentrated Global Share Hedged,364,4,13,94,IDR_Wealth
Platinum International Brands Fund,365,4,13,94,IDR_Wealth
Walter Scott Global Equity Hedged,366,4,13,94,IDR_Wealth
Zurich Investments Global Growth,367,4,13,94,IDR_Wealth
Aberdeen Standard Actively Hedged International Equities Fund,368,4,13,94,IDR_Wealth
Aberdeen Standard International Equity Fund,369,4,13,94,IDR_Wealth
Optimix Wholesale - Global Smaller Companies,370,4,13,94,IDR_Wealth
Altrinsic Global Equities Trust,371,4,13,94,IDR_Wealth
Platinum European Fund,372,4,13,94,IDR_Wealth
Zurich Investments Global Thematic Share,373,4,13,94,IDR_Wealth
Zurich Investments Unhedged Global Thematic Share,374,4,13,94,IDR_Wealth
Generation Dimensional Global Small Companies,375,4,13,94,IDR_Wealth
Generation iShares Hedged International Equity Index,376,4,13,94,IDR_Wealth
Generation iShares Wholesale International Equity Index,377,4,13,94,IDR_Wealth
Generation Magellan Global,378,4,13,94,IDR_Wealth
Generation Life Investment Bonds MFS Concentrated Global Equity Trust,379,4,13,94,IDR_Wealth
Generation Perpetual Wholesale International,380,4,13,94,IDR_Wealth
Generation Life LMMC Emerging Markets,381,4,13,94,IDR_Wealth
ANZ Australian Equities Capital (Non-Tax Payer) Portfolio,382,4,13,96,IDR_Wealth
ANZ Australian Equities Income (Non-Tax Payer) Portfolio,383,4,13,96,IDR_Wealth
ANZ Australian Equities Capital (Tax Payer) Portfolio,384,4,13,96,IDR_Wealth
ANZ Australian Equities Income (Tax Payer) Portfolio,385,4,13,96,IDR_Wealth
ANZ Active International Equities Portfolio,386,4,13,96,IDR_Wealth
ANZ Dynamic International Equities Portfolio,387,4,13,96,IDR_Wealth
ANZ Nikko Ex-20 Portfolio,388,4,13,96,IDR_Wealth
ANZ Nikko Income Portfolio,389,4,13,96,IDR_Wealth
ANZ Yarra Ex-20 Portfolio,390,4,13,96,IDR_Wealth
ANZ Dynamic Fixed Income Portfolio,391,4,13,96,IDR_Wealth
ANZ Australian Fixed Income Portfolio,392,4,13,96,IDR_Wealth
ANZ Enhanced Yield Portfolio,393,4,13,96,IDR_Wealth
ANZ International Fixed Income Portfolio,394,4,13,96,IDR_Wealth
Aviva Investors Multi-Strategy Target Return,395,4,13,96,IDR_Wealth
ANZ Dynamic 30 Diversified Portfolio,396,4,13,96,IDR_Wealth
ANZ Dynamic 50 Diversified Portfolio,397,4,13,96,IDR_Wealth
ANZ Dynamic 70 Diversified Portfolio,398,4,13,96,IDR_Wealth
ANZ Dynamic 100 Diversified (Non-Tax Payer) Portfolio,399,4,13,96,IDR_Wealth
ANZ Dynamic 100 Diversified (Tax Payer) Portfolio,400,4,13,96,IDR_Wealth
Dynamic Core D30,401,4,13,96,IDR_Wealth
Dynamic Core D50,402,4,13,96,IDR_Wealth
Dynamic Core D70,403,4,13,96,IDR_Wealth
Dynamic Core D100,404,4,13,96,IDR_Wealth
Dynamic Managed 30,405,4,13,96,IDR_Wealth
Dynamic Managed 50,406,4,13,96,IDR_Wealth
Dynamic Managed 70,407,4,13,96,IDR_Wealth
Dynamic Managed 100,408,4,13,96,IDR_Wealth
Vanguard Conservative Index,409,4,13,98,IDR_Wealth
Vanguard Balanced Index Fund,410,4,13,98,IDR_Wealth
Vanguard Growth Index,411,4,13,98,IDR_Wealth
Vanguard High Growth Index,412,4,13,98,IDR_Wealth
OnePath Wholesale - Balanced Trust,413,4,13,98,IDR_Wealth
OnePath Wholesale - Capital Stable Trust,414,4,13,98,IDR_Wealth
OnePath Wholesale - Managed Growth,415,4,13,98,IDR_Wealth
Pendal Active Growth,416,4,13,98,IDR_Wealth
Pendal Balanced Returns,417,4,13,98,IDR_Wealth
Perpetual Wholesale Balanced Growth,418,4,13,98,IDR_Wealth
First Sentier Investors Wholesale Conservative,419,4,13,98,IDR_Wealth
First Sentier Investors Wholesale High Growth,420,4,13,98,IDR_Wealth
Generation Life DFA World Allocation 50/50 Trust,421,4,13,98,IDR_Wealth
Generation Dimensional World Allocation 70/30 Trust,422,4,13,98,IDR_Wealth
